carrier,from_airport,to_airport,,long,lat,wac
TX,Nebit Dag,UT1H,,54.365975,39.4806,5
TX,Kizyl Arvat,UT55,,56.356967,38.984236,338
TX,Gaurdak,UT56,,65.965486,37.805892,1085
TX,Cheleken East,UT1J,,53.198228,39.410458,-43
TX,Dashoguz,UTAT,,59.826667,41.761111,272
TX,Kalai Mor,UT58,,62.554839,35.662875,1329
TX,Ashgabat,UTAA,,58.360967,37.986814,692
TZ,Arusha,HTAR,,36.633333,-3.367794,4550
TZ,Mwanza,HTMW,,32.932667,-2.444486,3763
TZ,Zanzibar,HTZA,,39.224886,-6.222025,54
TZ,Dodoma,HTDO,,35.752578,-6.170436,3637
